x,y,t,x_avg,y_avg
1145.0,585.0,0.0,1137.85,575.1450000000001
1141.0,580.5,0.01,1137.3,574.38
1141.0,580.5,0.02,1136.9,573.7500000000001
1141.0,580.5,0.03,1136.5,573.1200000000001
1139.0,576.9,0.04,1136.1,572.49
1139.0,576.9,0.05,1135.7,571.9949999999999
1139.0,576.9,0.06,1135.3,571.5
1139.0,576.9,0.07,1134.9,571.005
1138.0,575.1,0.08,1134.5,570.465
1138.0,575.1,0.09,1134.15,570.015
1138.0,575.1,0.1,1133.8,569.565
1138.0,575.1,0.11,1133.45,569.07
1136.0,572.4,0.12,1133.1,568.575
1136.0,572.4,0.13,1132.85,568.2150000000001
1136.0,572.4,0.14,1132.6,567.7650000000001
1135.0,570.6,0.15,1132.35,567.315
1135.0,570.6,0.16,1132.15,566.955
1135.0,570.6,0.17,1131.95,566.5949999999999
1134.0,569.7,0.18,1131.75,566.2349999999999
1134.0,569.7,0.19,1137.85,575.1450000000001
1134.0,569.7,0.2,1137.3,574.38
1133.0,567.9,0.21,1136.9,573.7500000000001
1133.0,567.9,0.22,1136.5,573.1200000000001
1133.0,567.9,0.23,1136.1,572.49
1131.0,567.0,0.24,1135.7,571.9949999999999
1131.0,567.0,0.25,1135.3,571.5
1131.0,567.0,0.26,1134.9,571.005
1131.0,566.1,0.27,1134.5,570.465
1131.0,566.1,0.28,1134.15,570.015
1131.0,566.1,0.29,1133.8,569.565
1131.0,565.2,0.3,1133.45,569.07
1131.0,565.2,0.31,1133.1,568.575
1131.0,565.2,0.32,1132.85,568.2150000000001
1131.0,563.4,0.33,1132.6,567.7650000000001
1131.0,563.4,0.34,1132.35,567.315
1131.0,563.4,0.35,1132.15,566.955
1131.0,563.4,0.36,1131.95,566.5949999999999
1131.0,563.4,0.37,1131.75,566.2349999999999
1131.0,563.4,0.38,1131.6,565.92
1131.0,563.4,0.39,1131.45,565.6049999999999
1131.0,563.4,0.4,1131.3,565.29
1131.0,563.4,0.41,1131.2,565.0649999999999
1131.0,563.4,0.42,1131.1,564.8399999999999
1131.0,563.4,0.43,1131.0,564.615
1131.0,563.4,0.44,1131.0,564.4349999999998
1131.0,563.4,0.45,1131.0,564.2549999999999
1130.0,563.4,0.46,1130.95,564.0749999999999
1130.0,563.4,0.47,1130.9,563.9399999999999
1130.0,563.4,0.48,1130.85,563.805
1129.0,563.4,0.49,1130.75,563.6699999999998
1129.0,563.4,0.5,1130.65,563.5799999999999
1129.0,563.4,0.51,1130.55,563.49
1128.0,563.4,0.52,1130.4,563.3999999999999
1128.0,563.4,0.53,1130.25,563.3999999999999
1128.0,563.4,0.54,1130.1,563.3999999999999
1128.0,563.4,0.55,1129.95,563.3999999999999
1126.0,565.2,0.56,1129.7,563.49
1126.0,565.2,0.57,1129.45,563.58
1126.0,565.2,0.58,1129.2,563.6700000000001
1125.0,566.1,0.59,1128.9,563.8050000000001
1125.0,566.1,0.6,1128.6,563.9400000000002
1125.0,566.1,0.61,1128.3,564.075
1124.0,567.0,0.62,1127.95,564.255
1124.0,567.0,0.63,1127.6,564.4350000000001
1124.0,567.0,0.64,1127.25,564.615
1123.0,567.9,0.65,1126.85,564.8399999999999
1123.0,567.9,0.66,1126.5,565.0649999999999
1123.0,567.9,0.67,1126.15,565.2899999999998
1121.0,569.7,0.68,1125.7,565.605
1121.0,569.7,0.69,1125.3,565.9200000000001
1121.0,569.7,0.7,1124.9,566.2350000000001
1120.0,570.6,0.71,1124.45,566.5950000000001
1120.0,570.6,0.72,1124.05,566.9550000000002
1120.0,570.6,0.73,1123.65,567.3150000000002
1119.0,571.5,0.74,1123.2,567.72
1119.0,571.5,0.75,1122.75,568.125
1119.0,571.5,0.76,1122.4,568.44
1119.0,571.5,0.77,1122.05,568.755
1119.0,571.5,0.78,1121.7,569.07
1116.0,572.4,0.79,1121.25,569.385
1116.0,572.4,0.8,1120.8,569.7
1116.0,572.4,0.81,1120.35,570.015
1114.0,575.1,0.82,1119.85,570.42
1114.0,575.1,0.83,1119.35,570.825
1114.0,575.1,0.84,1118.85,571.23
